618.951457762343,10602.3662109375
619.14929787693507,10648.966796875
619.347132588479,10666.966796875
619.54496189493216,10630.43359375
619.74278579425254,10679.7001953125
619.940604284398,10719.599609375
620.13841736332631,10811.400390625
620.33622502899641,10766.7666015625
620.5340272793668,10666.2666015625
620.73182411239657,10696.56640625
620.92961552604481,10753.099609375
621.1274015182712,10793.599609375
621.32518208703527,10950.43359375
621.52295723029727,11015.1337890625
621.72072694601729,11103.6669921875
621.91849123215616,11077.56640625
622.11625008667454,11043.3330078125
622.31400350753347,11003.6669921875
622.51175149269432,11092.2001953125
622.70949404011867,11082.1669921875
622.90723114776836,11151.2666015625
623.10496281360577,11252.1669921875
623.302689035593,11246
623.50040981169286,11294.56640625
623.69812513986813,11398.2001953125
623.89583501808215,11309.2666015625
624.09353944429847,11254.1337890625
624.2912384164805,11236.06640625
624.48893193259244,11256.033203125
624.6866199905985,11342.2333984375
624.884302588463,11355.2666015625
625.08197972415087,11435.3662109375
625.2796513956273,11392.43359375
625.47731760085742,11328.2666015625
625.67497833780681,11428.466796875
625.87263360444126,11553.43359375
626.07028339872693,11628.2333984375
626.26792771863006,11637.5
626.4655665621176,11584.6337890625
626.66319992715592,11571.5
626.86082781171262,11498.06640625
627.058450213755,11713.93359375
627.25606713125046,11861
627.4536785621674,11718.966796875
627.651284504474,11659.8662109375
627.84888495613836,11665
628.04647991512957,11679.533203125
628.24406937941649,11717.7666015625
628.44165334696845,11704.7333984375
628.639231815755,11734.5
628.836804783746,11888
629.03437224891127,11828.8330078125
629.23193420922144,11817.5
629.429490662647,11779.466796875
629.627041607159,11815.3662109375
629.82458704072837,11875.3330078125
630.02212696132665,12084.7001953125
630.21966136692538,12040.3662109375
630.41719025549673,12047.56640625
630.61471362501277,12011.1669921875
630.812231473446,12071.7333984375
631.009743798769,11942.1669921875
631.20725059895517,11902.900390625
631.4047518719774,11981.2333984375
631.60224761580969,12017.56640625
631.79973782842535,11980.2998046875
631.99722250779871,12015.2666015625
